연번,구분(일반/모범),승차대명,소 재 지(구별),소재지(주소),좌표 X,좌표 Y,유형(폴형/쉘터형/기타),유형,설치년도,철거년도,별도 차선(베이)유무,베이 크기(승차면수),도로차선수,비고(현장 사진)
1,일반,동변동선수촌아파트(802동)앞,북구,동변로 55,,,,무개,2014-12-04,,,,,view
2,일반,서변동 제2공영주차장 앞,북구,서변동 1792,,,,무개,2015-06-10,,,,,
3,일반,칠곡신한은행앞(팔거역 근처),북구,학정로 427,,,,무개,,,,,,
4,일반,칠곡로즈마리병원앞(팔거역 근처),북구,팔거천동로 215,,,,무개,,,,,,
5,일반,칠곡홈플러스앞(팔거역 근처),북구,동암로12길 8,,,,유무개,,,,,,
6,일반,칠곡동서영남아파트 앞(화성타운 맞은편),북구,구암로 180,,,,무개,,,,,,
7,일반,칠곡화성타운2차(103동)앞,북구,동천로 6,,,,무개,,,,,,
8,일반,동아아울렛 강북점 앞,북구,칠곡중앙대로 416,,,,무개,,,,,,
9,일반,칠곡 강비뇨기과 앞(지하차도 전),북구,칠곡중앙대로 388,,,,무개,,,베이,,,
10,일반,칠곡대구은행 태전동지점 앞(송림스포츠프라자 건물),북구,칠곡중앙대로 309,,,,무개,,,,,,
11,일반,칠곡부영3단지 정문(305동) 앞,북구,구암서로 7,,,,무개,,,,,,
12,일반,이마트 칠성점 앞,북구,침산로 93,,,,유무개,,,베이,,,
13,일반,대현 3단지 앞,북구,대현남로6길 20,,,,무개,,,베이,,,
14,일반,서대구고속터미널앞(만평네거리),북구,팔달로 103,,,,유무개,,,,,,
15,일반,EXCO 앞,북구,유통단지로 90,,,,유개,,,,,,
16,일반,종합유통단지 전자관앞,북구,유통단지로 45,,,,유무개,,,베이,,,
17,일반,매천휴먼시아2단지아파트 정문 옆(매천센트럴파크 203동),북구,매전로4길 9,,,,무개,2019-11-28,,,,,
18,일반,북구 칠성남로30길 11(대구역 롯데백화점 후면) ,북구,칠성남로30길 11,,,,유무개,2021-12-01,,,,,
19,일반,프린스호텔 앞,남구,명덕로 150,,,,유개,,,베이,,,
20,일반,강변코오롱하늘채101동 앞(봉덕시장 건너편),남구,봉덕로 134,,,,무개,2015-09-25,,,,,
21,일반,성심요양병원 앞,남구,대명로 14,,,,유개,,,,,,
22,일반,서부시장 건너편,서구,달서로 131,,,,무개,,,,,,
23,일반,홈플러스 내당점 앞,서구,달구벌대로 1821,,,,무개,2012-07-15,,,,,
24,일반,중리 롯데캐슬(105동) 앞,서구,국채보상로 34길 12,,,,무개,,,베이,,,
25,일반,북부정류장 입구,서구,서대구로 299,,,,무개,,,베이,,,
26,일반,북부정류장 건너편,서구,서대구로 298,,,,무개,,,베이,,,
27,일반,서대구역사(남측주차장),서구,서구 와룡로 527,,,,유무개,2022-03-30,,,,,
28,일반,서대구역사(북측주차장),서구,서구 와룡로 527,,,,유무개,2022-03-30,,,,,
29,일반,신천가람타운 앞(105동 앞),동구,신암로16길 16,,,,유개,,,,,,
30,일반,궁전라벤더앞,동구,아양로 52,,,,무개,,,베이,,,
31,일반,평화시장 입구,동구,아양로 37,,,,무개,,,베이,,,
32,일반,불로동새마을금고앞,동구,팔공로 137,,,,무개,2010-09-10,,,,,
33,일반,동화사 주차장 입구(자동차극장 앞),동구,용수동 50-13,,,,무개,,,,,,
34,일반,동부정류장 밑(일반택시),동구,화랑로 67,,,,무개,,,,,,
35,일반,동부정류장 건너,동구,효신로 14-1,,,,무개,,,,,,
36,일반,동부정류장 앞,동구,효신로 17,,,,무개,,,베이,,,
37,일반,동대구역(복합환승센터 앞)(일반택시),동구,동대구로 550,,,,무개,,,베이,,,
38,일반,동대구역 광장(일반택시),동구,동대구로550,,,,유무개,2017-08-01,,베이,,,
39,일반,동대구역 광장 건너편(일반택시),동구,동대구로550,,,,유무개,2017-08-01,,베이,,,
40,일반,동대구역(성동고가교),동구,동대구로550,,,,유무개,2017-02-05,,베이,,,
41,일반,동대구역(성동고가교 건너),동구,동대구로550,,,,무개,2017-02-05,,베이,,,
42,일반,동대구역 신암남로(구. 육교밑),동구,동대구로550,,,,무개,2017-02-05,,베이,,,
43,일반,현대시티아울렛 대구점 뒤편,동구,동대구로 454,,,,무개,2017-10-11,,,,,
44,일반,K-2정문 앞,동구,아양로 329,,,,무개,2010-09-10,,,,,
45,일반,홈플러스 동촌점 앞,동구,동촌로 127,,,,무개,,,베이,,,
46,일반,동대구IC 입구(시외버스터미널 정류장)(한국 종합수산 맞은편),동구,화랑로 509,,,,무개,2010-09-10,,,,,
47,일반,안심주공1단지(105동)앞,동구,안심로22길 3,,,,무개,2011-05-17,,,,,
48,일반,율하휴먼시아7단지(708동) 앞,동구,안심로22길 55,,,,무개,2015-06-10,,,,,
49,일반,안심주공3단지(305동)앞(율원초등학교 건너편),동구,율하동로 76,,,,무개,,,,,,
50,일반,각산역 3번출구,동구,안심로 370,,,,무개,2010-09-10,,,,,
51,일반,이마트 반야월점 앞,동구,안심로 389-3,,,,무개,2010-09-10,,,,,
52,일반,혁신도시 병무청 앞(중앙신체검사소),동구,첨복로 10,,,,유개,2014-12-04,,,,,
53,일반,이시아폴리스 더샵1차 102동 육교 밑,동구,팔공로53길 10,,,,무개,2019-06-10,,,,,
54,일반,"중앙중,고등학교 건너편",동구,국채보상로 791,,,,무개,,,베이,,,
55,일반,노보텔 앞,중구,국채보상로 611,,,,유개,,,베이,,,
56,일반,구 아세아극장(교동따로식당 앞),중구,국채보상로 563,,,,유개,,,,,,
57,일반,대명시장 건너,중구,명덕로 57,,,,무개,,,,,,
58,일반,대백프라자 동편(신천대로 옆),중구,명덕로 333,,,,유개,,,,,,
59,일반,동인초등학교 건너,중구,국채보상로 727-1,,,,무개,,,베이,,,
60,일반,유성스포츠 앞(굳센병원 앞),수성구,국채보상로 830,,,,무개,,,베이,,,
61,일반,대구지방법원앞,수성구,동대구로 364,,,,유개,,,베이,,,
62,일반,두산위브제니스앞(범어역 9번 출구),수성구,달구벌대로 2435,,,,무개,,,,,,
63,일반,가든하이츠3차(306동)앞(동도중 건너편),수성구,청호로365,,,,무개,,,,,,
64,일반,캐슬골드파크(1107동)앞,수성구,청수로 257,,,,유무개,2014-12-04,,,,,
65,일반,캐슬골드파크(대구은행)앞,수성구,청수로 235,,,,유무개,,,,,,
66,일반,어린이회관 앞,수성구,동대구로 176,,,,유개,,,베이,,,
67,일반,범어 우방타운(1동)앞,수성구,동대구로 230,,,,무개,,,,,,
68,일반,한가람아파트 앞(한가람코아 앞),수성구,명덕로 368,,,,무개,,,,,,
69,일반,수성화성쌍용타운(104동)앞,수성구,수성로 411,,,,무개,,,,,,
70,일반,범물용지아파트3단지 앞(307동 앞),수성구,범안로 77,,,,무개,2015-06-10,,,,,
71,일반,대구스타디움 앞,수성구,유니버시아드로 140,,,,유개,,,,,,
72,일반,대구스타디움 건너,수성구,대흥동 26-2,,,,유개,,,,,,
73,일반,시지 삼성서비스 (경북아파트)건너,수성구,매호동 1346,,,,무개,,,베이,,,
74,일반,이월드(舊 우방랜드) 옆,달서구,두류동 159-20,,,,무개,,,베이,,,
75,일반,두류 인라인 스케이트장 앞,달서구,공원순환로 216,,,,무개,,,,,,
76,일반,청구그린3차 뒷편(그린코아 앞),달서구,구마로 190,,,,무개,,,,,,
77,일반,모다아울렛 앞,달서구,달서대로 411,,,,유무개,2010-09-10,,베이,,,
78,일반,삼성한국형아파트 (105동) 앞,달서구,호산로 126,,,,무개,,,베이,,,
79,일반,성서계대 동문건너,달서구,서당로7길 52,,,,무개,2014-12-04,,,,,
80,일반,성서주공1단지(110동) 앞,달서구,신당로 56,,,,무개,2011-04-04,,,,,
81,일반,이마트 성서점 앞,달서구,이곡동로 24,,,,무개,2015-06-10,,,,,
82,일반,홈플러스 성서점앞,달서구,달구벌대로 1467,,,,유개,,,베이,,,
83,일반,홈플러스성서점 건너,달서구,한들로 36,,,,무개,2010-09-10,,,,,
84,일반,대구지방법원 서부지원민원실앞,달서구,장산남로 30,,,,무개,,,베이,,,
85,일반,대구지방검찰청서부지청앞,달서구,장산남로 40,,,,무개,,,베이,,,
86,일반,서한 화성타운2차(203동) 앞(용산청구타운 건너),달서구,용산서로 22,,,,무개,2015-06-10,,,,,
87,일반,서부정류장 건너(구 달성군청 건너),달서구,월배로 475,,,,무개,,,,,,
88,일반,상인비둘기아파트 (106동)앞,달서구,상화로 371,,,,유무개,2010-09-10,,베이,,,
89,일반,미리샘주공2단지(201동) 앞,달서구,한실로 134,,,,유무개,2015-09-25,,,,,
90,일반,대곡 강산타운 404동앞,달서구,도원로 45,,,,무개,,,,,,
91,일반,대곡 주공7단지 산새마을(710)동 앞,달서구,도원남로 40,,,,무개,2011-04-04,,,,,
92,일반,대곡 주공8단지 나래마을(815동)앞,달서구,한실로 29,,,,무개,2015-09-25,,,,,
93,일반,E마트 월배점 앞,달서구,진천로 92,,,,무개,2010-09-10,,,,,
94,일반,달서구청 앞,달서구,학산로 45,,,,유무개,,,,,,
95,일반,죽전네거리 구병원 입구(죽전역 근처),달서구,달구벌대로 1592,,,,무개,,,,,,
96,일반,대곡역1번출구앞,달성군,화원읍 비슬로 2713,,,,무개,,,,,,
97,일반,대구교도소 앞,달성군,화원읍 비슬로 2632,,,,무개,,,,,,
98,일반,명곡미래빌1단지앞(101동 인근),달성군,화원읍 명곡로 11,,,,무개,,,,,,
99,일반,대구과학관 정문 맞은편,달성군,유가읍 테크노대로6길 20,,,,무개,2014-12-04,,,,,
100,일반,테크노폴리스 유가면사무소앞,달성군,유가읍 테크노상업로 95,,,,유개,2014-12-04,,베이,,,
101,모범,서대구고속터미날 앞(만평네거리),북구,팔달로 103,,,,유무개,,,,,,
102,모범,북부정류장 입구,서구,서대구로 299,,,,무개,,,베이,,,
103,모범,동대구역(신세계백화점 앞),동구,동대구로550,,,,유무개,2017-02-05,,베이,,,
104,모범,동부정류장 밑(모범택시),동구,화랑로 65,,,,무개,,,,,,
105,모범,"동대구역 광장(대형,모범)",동구,동대구로550,,,,무개,2017-08-01,,베이,,,
106,모범,"대구공항 앞(일반, 모범택시)",동구,공항로 221,,,,유개,,,,,,
107,모범,"대구역 앞(일반, 모범택시)",중구,태평로 161,,,,유개,,,,,,
108,모범,인터불고 호텔 앞(모범택시),수성구,팔현길 212,,,,유개,,,,,,
109,모범,서대구역사(남측주차장),서구,와룡로 527,,,,유무개,2022-03-30,,,,,
110,모범,서대구역사(북측주차장),서구,와룡로 527,,,,유무개,2022-03-30,,,,,
111,일반,문양역 2호선 2번 출구 인근,달성군,"다사읍 문양리 416, 421 인근",,,,무개,2022-12-14,,,,,
